user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
142,05/11/2024,Basic,199,14.5,4,5,25,18,Yes
143,21/10/2023,Standard,399,0.7,0,4,18,47,Yes
144,06/11/2024,Basic,199,5.9,3,4,23,16,No
145,16/08/2024,Premium,699,15.9,0,2,9,50,Yes
146,25/07/2023,Standard,399,2.7,4,2,9,47,Yes
147,18/06/2023,Basic,199,22,5,4,35,32,No
148,28/04/2023,Standard,399,24.2,4,5,31,55,Yes
149,11/02/2024,Standard,399,3.9,3,5,5,46,Yes
150,10/04/2024,Premium,699,2.7,6,0,24,16,No
151,26/01/2023,Standard,399,14.8,5,0,17,43,Yes
152,20/04/2024,Premium,699,8.5,3,5,36,4,No
153,08/11/2023,Premium,699,16.4,1,1,20,2,No
154,17/11/2024,Standard,399,2.9,8,1,8,24,Yes
155,16/05/2024,Premium,699,10.8,2,3,35,41,Yes
156,30/03/2024,Premium,699,23.5,4,0,27,44,Yes
157,22/10/2024,Standard,399,21.5,1,5,16,23,Yes
158,10/04/2024,Standard,399,10.3,3,0,4,60,No
159,09/05/2023,Basic,199,16.2,0,0,14,50,Yes
160,27/08/2023,Premium,699,2.2,8,1,14,37,Yes
161,14/05/2023,Standard,399,19.8,0,2,10,54,No
162,16/01/2023,Premium,699,20.1,1,5,17,55,Yes
163,07/03/2024,Standard,399,14.9,0,1,16,16,Yes
164,30/08/2024,Premium,699,18.8,7,3,8,49,Yes
165,05/11/2024,Basic,199,12.8,0,5,29,50,No
166,12/03/2024,Premium,699,11.7,0,0,20,30,No
167,14/09/2024,Premium,699,12.5,7,0,7,57,Yes
168,03/09/2024,Basic,199,3.6,8,5,5,20,Yes
169,01/11/2024,Premium,699,11.6,6,0,19,50,No
170,28/02/2024,Premium,699,18.2,3,3,36,28,No
171,19/09/2023,Standard,399,10.3,1,2,30,27,Yes
172,06/04/2023,Standard,399,17.3,7,0,10,5,No
173,29/07/2024,Standard,399,18.7,5,1,7,35,Yes
174,09/03/2024,Premium,699,16.9,6,2,22,55,Yes
175,06/08/2023,Premium,699,24.2,4,2,4,6,No
176,28/04/2023,Basic,199,6,1,2,31,54,Yes
177,24/07/2024,Standard,399,20.3,8,4,15,39,Yes
178,14/12/2023,Basic,199,1.2,4,5,18,48,Yes
179,26/05/2023,Standard,399,4.9,2,4,1,42,Yes
180,16/12/2023,Premium,699,2.7,8,1,2,24,Yes
181,23/02/2023,Basic,199,8.1,5,4,24,38,Yes
182,08/11/2024,Basic,199,19,0,5,11,5,Yes
183,27/04/2023,Standard,399,15.4,6,2,32,13,No
184,14/08/2023,Standard,399,3.2,7,4,28,42,Yes
185,19/09/2023,Standard,399,0.7,4,1,4,49,Yes
186,25/01/2024,Standard,399,3.4,7,5,21,27,Yes
187,13/02/2023,Premium,699,12.8,5,0,15,25,No
188,19/02/2024,Standard,399,11.8,1,2,2,36,Yes
189,24/09/2024,Premium,699,7.6,6,0,27,20,Yes
190,20/06/2024,Standard,399,2.7,1,1,24,27,Yes
191,20/03/2023,Basic,199,21.8,5,1,26,21,No
192,22/10/2024,Premium,699,13.5,3,2,8,22,No
193,02/11/2024,Basic,199,3,4,1,16,11,No
194,16/08/2024,Basic,199,23.8,7,3,12,48,Yes
195,28/03/2024,Standard,399,21.7,5,1,21,28,Yes
196,17/04/2024,Premium,699,20,0,2,20,32,Yes
197,03/04/2023,Standard,399,1.9,4,0,3,41,No
198,08/08/2024,Premium,699,9.9,8,5,33,57,Yes
199,06/04/2024,Premium,699,8.4,7,4,13,9,No
200,11/09/2023,Basic,199,24.6,1,4,22,41,Yes
201,17/01/2024,Premium,699,24.8,8,4,29,39,Yes
202,08/10/2024,Standard,399,10.5,5,5,25,38,Yes
203,16/09/2023,Premium,699,2.1,1,4,22,43,Yes
204,16/12/2024,Premium,699,8.7,2,2,10,19,No
205,03/12/2023,Premium,699,3.7,1,2,26,35,Yes
206,13/11/2023,Basic,199,2.8,6,4,34,23,Yes
207,08/06/2023,Basic,199,8.9,7,1,14,14,No
208,23/06/2024,Basic,199,21.2,1,4,19,49,Yes
209,05/07/2023,Basic,199,22,2,4,22,24,Yes
210,01/09/2023,Premium,699,18.2,0,3,11,23,No
211,25/04/2024,Standard,399,18.9,7,1,19,34,Yes
212,27/01/2024,Basic,199,17.1,7,3,24,49,Yes
213,14/09/2023,Premium,699,10.8,2,1,34,51,No
214,08/05/2023,Basic,199,21.9,8,0,31,45,No
215,23/03/2024,Standard,399,19.2,4,3,6,57,Yes
216,29/05/2024,Basic,199,20.5,5,0,15,26,Yes
217,12/04/2023,Standard,399,10,1,2,16,14,Yes
218,28/04/2024,Premium,699,19.9,2,0,22,18,No
219,23/03/2023,Premium,699,19.1,7,3,9,39,Yes
220,24/06/2024,Basic,199,5.8,2,4,17,60,No
221,05/03/2024,Standard,399,19.5,3,2,8,7,Yes
222,11/06/2024,Premium,699,2,7,4,30,34,Yes
223,04/09/2023,Premium,699,18.1,4,3,16,0,No
224,22/06/2024,Premium,699,5.1,1,4,27,23,Yes
225,26/04/2024,Premium,699,19.8,8,4,33,1,Yes
226,11/03/2023,Basic,199,24.5,4,5,25,1,Yes
227,17/05/2023,Standard,399,18.5,1,4,16,47,No
228,05/05/2024,Basic,199,13.9,2,5,23,29,No
229,07/02/2023,Premium,699,20.4,1,5,12,49,No
230,11/06/2024,Standard,399,1.6,3,0,13,20,No
231,18/02/2023,Standard,399,12.1,0,5,35,12,Yes
232,26/03/2024,Premium,699,7.2,5,3,22,56,Yes
233,15/06/2024,Standard,399,24.4,7,5,22,31,Yes
234,04/07/2023,Standard,399,18.3,1,3,6,38,No
235,01/04/2024,Premium,699,8.4,1,2,19,42,Yes
236,28/12/2023,Premium,699,4.6,7,2,28,28,Yes
237,08/01/2024,Premium,699,7.2,0,0,28,42,No
238,05/02/2023,Premium,699,23.8,2,4,11,43,No
239,03/02/2023,Basic,199,6.3,5,2,5,24,No
240,10/08/2024,Premium,699,17.1,5,2,10,28,No
241,27/04/2023,Basic,199,9.5,5,5,34,17,Yes
242,24/09/2023,Basic,199,12.7,6,4,12,7,Yes
243,24/07/2023,Premium,699,5.8,4,5,29,58,No
244,31/03/2023,Basic,199,21.4,7,1,9,57,No
245,04/11/2023,Premium,699,16.9,1,4,21,34,Yes
246,23/05/2023,Basic,199,19.9,8,1,12,7,No
247,18/07/2024,Basic,199,1.1,8,4,32,23,Yes
248,25/02/2024,Basic,199,2.1,6,5,6,46,Yes
249,27/11/2024,Standard,399,3.6,5,5,5,4,Yes
250,13/05/2023,Premium,699,3.6,8,5,23,37,Yes
251,18/06/2023,Standard,399,22.8,0,0,33,33,Yes
252,18/10/2023,Basic,199,23.4,3,2,21,60,No
253,21/09/2024,Basic,199,5.3,8,2,17,8,No
254,25/06/2023,Premium,699,12.8,2,4,6,60,Yes
255,18/10/2024,Premium,699,21.1,0,0,22,5,Yes
256,04/10/2024,Premium,699,16.5,6,4,17,40,Yes
257,02/12/2024,Premium,699,16.2,4,3,19,15,No
258,20/04/2024,Standard,399,11.6,0,1,20,28,No
259,20/12/2023,Basic,199,15.4,5,5,22,20,No
260,22/04/2024,Standard,399,19.1,8,4,9,6,Yes
261,29/01/2024,Basic,199,11.5,2,0,18,3,No
262,17/11/2023,Premium,699,6.6,2,2,27,59,Yes
263,24/05/2024,Basic,199,12.7,8,3,11,31,No
264,28/12/2023,Basic,199,23.7,8,3,6,15,Yes
265,21/04/2023,Basic,199,7.4,7,2,4,34,Yes
266,22/02/2023,Standard,399,22.1,5,3,9,23,Yes
267,06/04/2024,Premium,699,5.3,8,2,36,4,Yes
268,14/12/2023,Premium,699,20.7,1,1,18,6,No
269,11/02/2023,Premium,699,19,3,4,24,32,Yes
270,12/09/2024,Basic,199,3.9,5,3,3,33,Yes
271,03/11/2023,Premium,699,8.5,5,1,9,25,No
272,03/11/2023,Premium,699,12.9,8,4,22,31,Yes
273,05/12/2024,Standard,399,9.5,1,3,2,37,Yes
274,15/08/2024,Premium,699,15.1,4,5,2,50,No
275,26/09/2024,Premium,699,18.2,7,1,15,33,No
276,23/04/2023,Standard,399,20.6,3,0,10,36,No
277,25/02/2024,Basic,199,11.3,6,1,2,26,No
278,28/07/2024,Premium,699,21.9,0,5,31,8,No
279,17/12/2023,Standard,399,13.4,5,1,31,29,No
280,10/09/2023,Premium,699,17.1,4,4,23,30,Yes
281,22/12/2024,Standard,399,7.8,4,2,36,45,Yes
282,10/08/2024,Standard,399,12.3,8,5,21,17,Yes
283,25/10/2023,Premium,699,9.8,6,2,35,49,No
284,20/09/2023,Basic,199,23.9,1,2,19,59,Yes
285,06/10/2023,Premium,699,5.7,8,2,31,59,Yes
286,27/06/2024,Basic,199,15.6,3,1,7,3,No
287,28/11/2024,Basic,199,1.8,6,2,15,45,Yes
288,02/05/2024,Basic,199,24.1,2,3,1,41,No
289,02/04/2023,Standard,399,19,4,2,13,18,No
290,30/06/2023,Premium,699,13.6,0,1,15,26,No
291,08/02/2023,Basic,199,19.8,2,5,26,55,No
292,18/10/2024,Basic,199,14.4,1,2,20,18,No
293,26/04/2023,Premium,699,12.6,2,4,34,29,Yes
294,12/12/2023,Standard,399,18.4,4,5,11,11,Yes
295,15/02/2024,Standard,399,4.8,6,3,13,32,Yes
296,07/01/2023,Premium,699,5,2,3,7,20,No
297,09/08/2024,Standard,399,6.3,4,2,25,19,No
298,11/11/2023,Basic,199,16.5,3,0,17,42,Yes
299,30/10/2023,Basic,199,17.3,4,5,26,7,No
300,12/09/2024,Standard,399,5.9,2,3,15,9,No
301,12/08/2023,Standard,399,17.7,7,4,27,51,Yes
302,31/07/2024,Basic,199,13.4,8,5,6,23,Yes
303,18/06/2023,Basic,199,20.8,8,1,4,36,No
304,06/06/2024,Standard,399,11.3,3,5,34,37,Yes
305,26/07/2024,Standard,399,11.6,8,3,4,29,Yes
306,12/08/2023,Standard,399,18.2,6,2,20,52,Yes
307,03/03/2023,Premium,699,1.6,5,5,5,4,Yes
308,18/10/2024,Basic,199,1.3,6,1,31,49,Yes
309,22/01/2024,Premium,699,9.7,6,3,27,55,No
310,02/05/2023,Standard,399,17.2,8,1,6,41,No
311,24/01/2023,Basic,199,10.1,2,5,35,14,No
312,24/08/2023,Standard,399,17,8,3,30,34,Yes
313,26/04/2023,Basic,199,9,4,1,30,59,No
314,31/08/2024,Basic,199,15.6,0,1,27,13,Yes
315,25/03/2024,Basic,199,15.1,0,1,29,47,Yes
316,28/08/2023,Basic,199,5.8,0,1,35,32,No
317,07/11/2024,Premium,699,14.6,5,1,21,19,No
318,29/06/2023,Premium,699,10.6,4,0,15,35,No
319,26/01/2024,Premium,699,14.1,0,2,28,60,No
320,04/07/2024,Premium,699,17.6,6,1,21,19,No
321,01/03/2023,Standard,399,21.3,4,5,16,9,No
322,19/09/2023,Premium,699,24.2,8,4,27,8,Yes
323,15/07/2023,Basic,199,16.3,7,2,22,5,No
324,24/08/2024,Basic,199,9.7,0,0,18,12,No
325,16/01/2023,Premium,699,5.8,3,2,36,19,No
326,06/09/2023,Basic,199,24.1,1,5,13,48,Yes
327,25/01/2024,Premium,699,10.2,3,4,14,20,No
328,24/05/2024,Standard,399,16.4,4,2,35,23,Yes
329,17/11/2023,Standard,399,20.2,7,2,7,58,Yes
330,20/07/2024,Standard,399,14.3,3,5,3,9,Yes
331,09/09/2023,Premium,699,7.7,3,2,27,14,No
332,19/10/2024,Standard,399,16.5,5,2,36,48,No
333,15/05/2024,Premium,699,11.8,5,1,32,8,No
334,18/03/2023,Basic,199,24.8,0,4,35,2,No
335,11/03/2023,Premium,699,19.2,6,1,4,53,No
336,15/10/2024,Premium,699,0.7,8,3,10,23,Yes
337,13/01/2023,Premium,699,16.7,0,0,31,34,No
338,15/12/2024,Basic,199,18.2,8,2,34,1,No
339,02/06/2023,Premium,699,20.3,2,0,28,58,Yes
340,22/03/2023,Basic,199,15.7,4,2,13,17,No
341,24/03/2023,Standard,399,11.7,3,5,26,14,Yes
342,14/10/2024,Premium,699,2.8,6,3,3,35,Yes
343,08/04/2023,Basic,199,2.5,6,5,11,50,Yes
344,01/12/2024,Premium,699,6.1,7,2,3,2,No
345,17/01/2023,Standard,399,14.3,0,1,35,59,No
346,04/09/2023,Basic,199,18.9,6,0,10,19,Yes
347,24/05/2023,Premium,699,17.1,8,2,25,24,No
348,19/03/2023,Premium,699,12.8,5,0,6,6,No
349,06/04/2024,Standard,399,24.2,5,0,26,40,Yes
350,07/11/2024,Standard,399,9.2,6,3,15,11,No
351,02/10/2023,Standard,399,19.4,4,1,6,45,Yes
352,20/04/2023,Basic,199,17.9,2,5,25,24,Yes
353,16/05/2023,Basic,199,23.6,7,2,1,48,Yes
354,27/01/2023,Basic,199,11.1,8,4,12,32,Yes
355,02/02/2024,Basic,199,14.1,5,3,23,0,Yes
356,25/01/2024,Basic,199,22.7,3,4,36,33,Yes
357,21/03/2024,Basic,199,7.1,4,3,9,9,Yes
358,02/10/2024,Standard,399,7.8,1,2,27,16,No
359,07/12/2023,Standard,399,11.7,2,2,13,0,No
360,28/10/2024,Premium,699,20.2,5,3,25,21,Yes
361,12/02/2024,Premium,699,7.9,3,3,9,20,Yes
362,21/01/2024,Standard,399,18.5,7,4,19,50,Yes
363,17/07/2024,Standard,399,9.4,3,4,26,34,Yes
364,10/12/2024,Basic,199,23.6,3,3,30,51,Yes
365,05/11/2024,Basic,199,17,2,5,27,19,Yes
366,15/02/2024,Basic,199,19.8,1,3,28,38,Yes
367,04/01/2024,Premium,699,23.1,6,4,33,2,No
368,11/11/2024,Premium,699,15,1,0,35,49,Yes
369,14/02/2024,Standard,399,16.4,0,4,11,41,No
370,15/06/2024,Standard,399,3.1,1,2,28,14,Yes
371,08/12/2024,Premium,699,11.4,6,3,15,49,Yes
372,29/03/2023,Premium,699,9,0,3,10,6,Yes
373,09/05/2024,Basic,199,9,5,3,10,50,Yes
374,28/12/2024,Standard,399,2.9,7,2,31,4,Yes
375,07/09/2023,Basic,199,21.3,1,5,2,51,Yes
376,26/08/2023,Premium,699,14,5,4,12,27,No
377,22/07/2023,Standard,399,5.1,6,3,12,1,No
378,06/03/2023,Standard,399,10,3,1,28,17,No
379,13/04/2024,Premium,699,20.1,8,1,7,23,Yes
380,02/02/2024,Basic,199,16.9,7,4,17,40,Yes
381,26/06/2023,Premium,699,14.9,5,2,26,54,Yes
382,02/09/2023,Premium,699,23,1,5,20,8,Yes
383,22/05/2023,Standard,399,5,2,4,8,24,Yes
384,22/10/2024,Premium,699,10.9,7,5,25,34,Yes
385,06/04/2024,Basic,199,4.6,4,1,36,11,Yes
386,29/01/2024,Premium,699,21.7,0,3,4,8,Yes
387,30/03/2024,Premium,699,16.5,6,5,33,31,Yes
388,19/08/2023,Standard,399,2.5,0,1,11,18,Yes
389,22/05/2024,Premium,699,4.6,7,4,19,47,Yes
390,11/01/2024,Premium,699,3.3,1,2,33,49,Yes
391,15/04/2023,Premium,699,19.1,7,4,3,13,No
392,31/03/2023,Premium,699,7.8,0,3,16,16,Yes
393,06/12/2024,Standard,399,19.5,3,1,8,51,No
394,02/03/2023,Standard,399,4.6,2,1,28,52,Yes
395,27/10/2023,Premium,699,13.5,8,1,23,20,No
396,26/02/2024,Standard,399,23.8,8,5,18,52,Yes
397,30/05/2023,Basic,199,21.7,2,5,18,55,Yes
398,03/10/2023,Premium,699,20.8,6,3,21,9,No
399,06/04/2023,Premium,699,9.7,1,5,27,50,No
400,18/08/2024,Standard,399,18.9,5,3,33,60,Yes
401,06/03/2023,Basic,199,18.4,7,5,6,42,Yes
402,18/10/2023,Premium,699,5.8,6,1,26,31,Yes
403,19/02/2023,Standard,399,14.7,7,2,36,57,Yes
404,11/06/2023,Basic,199,15.8,7,0,7,7,No
405,27/10/2024,Standard,399,0.5,6,1,30,44,No
406,26/03/2023,Standard,399,21.9,4,0,11,41,Yes
407,15/03/2024,Standard,399,1.8,4,5,11,44,Yes
408,30/08/2024,Premium,699,17.7,0,1,6,30,Yes
409,04/05/2023,Basic,199,17.2,0,0,34,44,Yes
410,15/04/2023,Standard,399,12.2,3,3,9,5,No
411,17/05/2023,Basic,199,9.5,4,1,21,24,No
412,26/12/2023,Premium,699,2.2,0,4,10,41,Yes
413,11/08/2023,Premium,699,15.9,2,3,14,39,No
414,15/03/2024,Basic,199,3.9,1,4,7,46,Yes
415,14/09/2024,Standard,399,6.6,1,1,9,35,No
416,13/07/2023,Standard,399,21.3,4,1,2,33,No
417,04/09/2023,Premium,699,7.7,0,1,26,31,No
418,01/02/2024,Standard,399,13.4,0,2,5,59,Yes
419,24/08/2024,Premium,699,9.5,2,3,27,49,Yes
420,02/06/2024,Basic,199,6.9,0,0,1,60,No
421,03/07/2024,Standard,399,19.3,6,5,33,25,Yes
422,09/06/2023,Premium,699,7.3,4,0,10,32,No
423,02/09/2023,Premium,699,10.1,1,2,21,44,Yes
424,26/02/2023,Basic,199,2.6,6,0,16,29,Yes
425,22/12/2023,Standard,399,3.4,2,5,12,0,Yes
426,03/10/2023,Premium,699,19.7,4,1,34,23,Yes
427,20/06/2024,Premium,699,19.4,0,2,8,51,Yes
428,26/02/2023,Basic,199,18,1,3,17,29,Yes
429,29/04/2023,Standard,399,9.5,4,0,11,57,No
430,28/01/2024,Basic,199,0.6,0,1,33,2,No
431,02/11/2024,Basic,199,23.3,0,4,12,51,No
432,21/03/2023,Standard,399,8.4,6,5,15,20,Yes
433,17/02/2023,Premium,699,3.4,0,1,24,14,No
434,12/04/2024,Standard,399,22,4,2,5,20,Yes
435,13/01/2024,Basic,199,5.4,4,5,24,39,Yes
436,09/09/2023,Premium,699,24.9,3,5,32,57,Yes
437,11/12/2024,Basic,199,23.3,0,1,1,34,Yes
438,30/07/2023,Basic,199,0.5,6,5,22,46,Yes
439,14/02/2023,Premium,699,10.8,0,1,16,45,Yes
440,08/04/2023,Basic,199,10.6,5,3,34,47,Yes
441,21/03/2024,Premium,699,16.1,6,0,9,37,No
442,18/12/2024,Premium,699,6.3,4,2,9,59,No
443,20/05/2023,Premium,699,8.3,4,1,21,4,No
444,04/05/2023,Premium,699,4.3,2,3,7,29,Yes
445,03/05/2023,Premium,699,24.1,3,3,23,19,No
446,09/08/2023,Basic,199,20.3,4,5,11,44,Yes
447,24/11/2024,Standard,399,2.7,3,2,10,25,Yes
448,08/04/2024,Standard,399,20.6,2,0,17,60,No
449,05/05/2023,Premium,699,6.6,7,0,36,51,No
450,17/01/2024,Basic,199,20.8,3,1,4,12,No
451,22/07/2023,Premium,699,14.8,4,0,6,1,No
452,17/04/2024,Premium,699,20.3,1,2,29,7,Yes
453,27/01/2024,Basic,199,23.1,6,5,11,25,Yes
454,02/06/2023,Premium,699,4.7,3,1,28,17,Yes
455,04/03/2023,Basic,199,16.4,7,3,16,56,Yes
456,22/06/2024,Basic,199,9.9,6,1,18,41,No
457,11/05/2024,Basic,199,20,6,5,35,22,Yes
458,13/08/2023,Standard,399,8.4,4,1,33,1,No
459,27/08/2023,Basic,199,1.9,7,4,18,22,Yes
460,27/02/2023,Basic,199,6.6,3,2,7,34,No
461,15/12/2024,Basic,199,9.2,2,1,25,15,No
